model_name,model_size_mb (MB),GFLOPs (GFLOPs),Total_Params (count),First_Forward_Pass_Time (s),Training_Time (s),Inference_Time (s),CUDA_Time (ms),CPU_Time (ms),mse,mae
MobileNetV3,0.9815597534179688,10601129.0,231975,0.006391048431396484,,,2.0563605406082255,51.188,14.06631054572969,2.472500407636788,9.795339843750002
MobileNetV3,0.34575653076171875,4563437.0,66850,0.006323575973510742,,,1.2747188665206006,44.435,16.989061220319893,2.865360104676827,6.353173193359374
MobileNetV3,0.15300750732421875,3033190.0,17142,0.0067441463470458984,,,1.021433423998229,42.814,16.31495389583341,2.990088860966547,6.4472227294921876
MobileNetV3,0.24053192138671875,3682560.0,39794,0.0071942806243896484,,,1.1965523560146771,44.314,15.715520920795461,2.895436423751856,6.512721777343749
MobileNetV3,0.14586639404296875,3128376.0,15265,0.0072476863861083984,,,1.0683998832508237,41.569,16.84327905066382,3.0276466995685087,6.339660864257813
MobileNetV3,2.1971359252929688,23439648.0,548482,0.006828784942626953,,,3.2803291958782297,51.052,16.091514548948613,2.287931956103531,15.77170595703125
MobileNetV3,0.34575653076171875,4563437.0,66850,0.008192300796508789,,,1.276255807924477,45.205,16.989061220319893,2.865360104676827,6.577084838867188
MobileNetV3,2.1934127807617188,23439648.0,548482,0.24855780601501465,,,0.0,372.864,16.09151609848102,2.2879323371927076,273.866845703125
MobileNetV3,2.1934127807617188,23439648.0,548482,0.27679896354675293,,,0.0,357.758,16.09151609848102,2.2879323371927076,256.6133544921875
